nemo,run,serie,tipoentidad,row,nombre_cmf
CFIIMTPGF,9185,E,FINRE,AAAw+cAAhAABP4LAAh,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES II FULLY FUNDED
CFILHMHA-E,10675,A,FINRE,AAAw+cAAhAABQK+AAn,FONDO DE INVERSIÓN BCI LH Y MHE III
CFILHADC-E,10675,ADC,FINRE,AAAw+cAAhAABQK+AAn,FONDO DE INVERSIÓN BCI LH Y MHE III
CFILHMHB-E,10675,B,FINRE,AAAw+cAAhAABQK+AAn,FONDO DE INVERSIÓN BCI LH Y MHE III
CFILHBCI-E,10675,BCI,FINRE,AAAw+cAAhAABQK+AAn,FONDO DE INVERSIÓN BCI LH Y MHE III
CFILHMHC-E,10675,C,FINRE,AAAw+cAAhAABQK+AAn,FONDO DE INVERSIÓN BCI LH Y MHE III
CFILHMHI-E,10675,I,FINRE,AAAw+cAAhAABQK+AAn,FONDO DE INVERSIÓN BCI LH Y MHE III
CFI-CPD4BE,10352,B,FINRE,AAAw+cAAhAABQKFAAv,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE DEBT IV
CFI-CPD4IE,10352,I,FINRE,AAAw+cAAhAABQKFAAv,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE DEBT IV
CFIPDVIX-E,9742,UNICA,FINRE,AAAw+cAAhAABP4XAAq,FONDO DE INVERSION PRINCIPAL ADVENT GPE-IX
CFI-PES5AE,10655,A,FINRE,AAAw+cAAhAABQK9AAh,VOLCOMCAPITAL PE SECONDARY V FONDO DE INVERSIÓN
CFI-PES5BE,10655,B,FINRE,AAAw+cAAhAABQK9AAh,VOLCOMCAPITAL PE SECONDARY V FONDO DE INVERSIÓN
CFI-PES5CE,10655,C,FINRE,AAAw+cAAhAABQK9AAh,VOLCOMCAPITAL PE SECONDARY V FONDO DE INVERSIÓN
CFI-PES5DE,10655,D,FINRE,AAAw+cAAhAABQK9AAh,VOLCOMCAPITAL PE SECONDARY V FONDO DE INVERSIÓN
CFILVGII-E,9771,I,FINRE,AAAw+cAAhAABP4TAAp,FONDO DE INVERSIÓN LARRAÍN VIAL GLOBAL INFRASTRUCTURE PARTNERS IV
CFILVGIP-E,9771,P,FINRE,AAAw+cAAhAABP4TAAp,FONDO DE INVERSIÓN LARRAÍN VIAL GLOBAL INFRASTRUCTURE PARTNERS IV
CFILVGIR-E,9771,R,FINRE,AAAw+cAAhAABP4TAAp,FONDO DE INVERSIÓN LARRAÍN VIAL GLOBAL INFRASTRUCTURE PARTNERS IV
CFISDA4F-E,10745,A,FINRE,AAAw+cAAhAABQK5AA2,FONDO DE INVERSIÓN SECURITY DEUDA PRIVADA AUTOMOTRIZ IV
CFIPLS11-E,9660,UNICA,FINRE,AAAw+cAAhAABP4VAAK,FONDO DE INVERSION PRINCIPAL LS11
CFIPCOIA-E,10780,A,FINRE,AAAw+cAAhAABQK/AA2,MONEDA PATRIA COINVESTMENT I FONDO DE INVERSIÓN
CFIPCOFM-E,10780,FM,FINRE,AAAw+cAAhAABQK/AA2,MONEDA PATRIA COINVESTMENT I FONDO DE INVERSIÓN
CFIPCOII-E,10780,I,FINRE,AAAw+cAAhAABQK/AA2,MONEDA PATRIA COINVESTMENT I FONDO DE INVERSIÓN
CFIPCOIP-E,10780,P,FINRE,AAAw+cAAhAABQK/AA2,MONEDA PATRIA COINVESTMENT I FONDO DE INVERSIÓN
